Date,new_case,Season
2020-02-04,18,Winter
2020-02-05,1,Winter
2020-02-06,4,Winter
2020-02-07,1,Winter
2020-02-08,0,Winter
2020-02-09,3,Winter
2020-02-10,0,Winter
2020-02-11,1,Winter
2020-02-12,0,Winter
2020-02-13,0,Winter
2020-02-14,0,Winter
2020-02-15,0,Winter
2020-02-16,1,Winter
2020-02-17,1,Winter
2020-02-18,1,Winter
2020-02-19,20,Winter
2020-02-20,53,Winter
2020-02-21,100,Winter
2020-02-22,229,Winter
2020-02-23,169,Winter
2020-02-24,231,Winter
2020-02-25,144,Winter
2020-02-26,284,Winter
2020-02-27,505,Winter
2020-02-28,571,Winter
2020-02-29,813,Winter
2020-03-01,586,Spring
2020-03-02,476,Spring
2020-03-03,600,Spring
2020-03-04,516,Spring
2020-03-05,438,Spring
2020-03-06,518,Spring
2020-03-07,483,Spring
2020-03-08,367,Spring
2020-03-09,248,Spring
2020-03-10,131,Spring
2020-03-11,242,Spring
2020-03-12,114,Spring
2020-03-13,110,Spring
2020-03-14,107,Spring
2020-03-15,76,Spring
2020-03-16,74,Spring
2020-03-17,84,Spring
2020-03-18,93,Spring
2020-03-19,152,Spring
2020-03-20,87,Spring
2020-03-21,147,Spring
2020-03-22,98,Spring
2020-03-23,64,Spring
2020-03-24,76,Spring
2020-03-25,100,Spring
2020-03-26,104,Spring
2020-03-27,91,Spring
2020-03-28,146,Spring
2020-03-29,105,Spring
2020-03-30,78,Spring
2020-03-31,125,Spring
2020-04-01,101,Spring
2020-04-02,89,Spring
2020-04-03,86,Spring
2020-04-04,94,Spring
2020-04-05,81,Spring
2020-04-06,47,Spring
2020-04-07,47,Spring
2020-04-08,53,Spring
2020-04-09,39,Spring
2020-04-10,27,Spring
2020-04-11,30,Spring
2020-04-12,32,Spring
2020-04-13,25,Spring
2020-04-14,27,Spring
2020-04-15,27,Spring
2020-04-16,22,Spring
2020-04-17,22,Spring
2020-04-18,18,Spring
2020-04-19,8,Spring
2020-04-20,13,Spring
2020-04-21,9,Spring
2020-04-22,11,Spring
2020-04-23,8,Spring
2020-04-24,6,Spring
2020-04-25,10,Spring
2020-04-26,10,Spring
2020-04-27,10,Spring
2020-04-28,14,Spring
2020-04-29,9,Spring
2020-04-30,4,Spring
2020-05-01,9,Spring
2020-05-02,6,Spring
2020-05-03,13,Spring
2020-05-04,8,Spring
2020-05-05,3,Spring
2020-05-06,2,Spring
2020-05-07,4,Spring
2020-05-08,12,Spring
2020-05-09,18,Spring
2020-05-10,34,Spring
2020-05-11,35,Spring
2020-05-12,27,Spring
2020-05-13,26,Spring
2020-05-14,29,Spring
2020-05-15,27,Spring
2020-05-16,19,Spring
2020-05-17,13,Spring
2020-05-18,15,Spring
2020-05-19,13,Spring
2020-05-20,32,Spring
2020-05-21,12,Spring
2020-05-22,20,Spring
2020-05-23,23,Spring
2020-05-24,25,Spring
2020-05-25,16,Spring
2020-05-26,19,Spring
2020-05-27,40,Spring
2020-05-28,79,Spring
2020-05-29,58,Spring
2020-05-30,39,Spring
2020-05-31,27,Spring
2020-06-01,35,Summer
2020-06-02,38,Summer
2020-06-03,49,Summer
2020-06-04,39,Summer
2020-06-05,39,Summer
2020-06-06,51,Summer
2020-06-07,57,Summer
2020-06-08,38,Summer
2020-06-09,38,Summer
2020-06-10,50,Summer
2020-06-11,45,Summer
2020-06-12,56,Summer
2020-06-13,48,Summer
2020-06-14,34,Summer
2020-06-15,36,Summer
2020-06-16,34,Summer
2020-06-17,43,Summer
2020-06-18,59,Summer
2020-06-19,49,Summer
2020-06-20,67,Summer
2020-06-21,48,Summer
2020-06-22,17,Summer
2020-06-23,46,Summer
2020-06-24,51,Summer
2020-06-25,28,Summer
2020-06-26,39,Summer
2020-06-27,51,Summer
2020-06-28,62,Summer
2020-06-29,42,Summer
2020-06-30,43,Summer
2020-07-01,50,Summer
2020-07-02,54,Summer
2020-07-03,63,Summer
2020-07-04,63,Summer
2020-07-05,61,Summer
2020-07-06,46,Summer
2020-07-07,44,Summer
2020-07-08,63,Summer
2020-07-09,49,Summer
2020-07-10,45,Summer
2020-07-11,35,Summer
2020-07-12,44,Summer
2020-07-13,62,Summer
2020-07-14,33,Summer
2020-07-15,39,Summer
2020-07-16,61,Summer
2020-07-17,60,Summer
2020-07-18,39,Summer
2020-07-19,34,Summer
2020-07-20,26,Summer
2020-07-21,45,Summer
2020-07-22,63,Summer
2020-07-23,59,Summer
2020-07-24,41,Summer
2020-07-25,113,Summer
2020-07-26,58,Summer
2020-07-27,25,Summer
2020-07-28,28,Summer
2020-07-29,48,Summer
2020-07-30,18,Summer
2020-07-31,36,Summer
2020-08-01,31,Summer
2020-08-02,30,Summer
2020-08-03,23,Summer
2020-08-04,34,Summer
2020-08-05,33,Summer
2020-08-06,43,Summer
2020-08-07,20,Summer
2020-08-08,43,Summer
2020-08-09,36,Summer
2020-08-10,28,Summer
2020-08-11,34,Summer
2020-08-12,54,Summer
2020-08-13,56,Summer
2020-08-14,103,Summer
2020-08-15,166,Summer
2020-08-16,279,Summer
2020-08-17,197,Summer
2020-08-18,246,Summer
2020-08-19,297,Summer
2020-08-20,288,Summer
2020-08-21,324,Summer
2020-08-22,332,Summer
2020-08-23,397,Summer
2020-08-24,266,Summer
2020-08-25,280,Summer
2020-08-26,320,Summer
2020-08-27,441,Summer
2020-08-28,371,Summer
2020-08-29,323,Summer
2020-08-30,299,Summer
2020-08-31,248,Summer
2020-09-01,235,Autumn
2020-09-02,267,Autumn
2020-09-03,195,Autumn
2020-09-04,198,Autumn
2020-09-05,168,Autumn
2020-09-06,167,Autumn
2020-09-07,119,Autumn
2020-09-08,136,Autumn
2020-09-09,156,Autumn
2020-09-10,155,Autumn
2020-09-11,176,Autumn
2020-09-12,136,Autumn
2020-09-13,121,Autumn
2020-09-14,109,Autumn
2020-09-15,106,Autumn
2020-09-16,113,Autumn
2020-09-17,153,Autumn
2020-09-18,126,Autumn
2020-09-19,110,Autumn
2020-09-20,82,Autumn
2020-09-21,70,Autumn
2020-09-22,61,Autumn
2020-09-23,110,Autumn
2020-09-24,125,Autumn
2020-09-25,114,Autumn
2020-09-26,61,Autumn
2020-09-27,95,Autumn
2020-09-28,50,Autumn
2020-09-29,38,Autumn
2020-09-30,113,Autumn
2020-10-01,77,Autumn
2020-10-02,63,Autumn
2020-10-03,75,Autumn
2020-10-04,64,Autumn
2020-10-05,73,Autumn
2020-10-06,75,Autumn
2020-10-07,114,Autumn
2020-10-08,69,Autumn
2020-10-09,54,Autumn
2020-10-10,72,Autumn
2020-10-11,58,Autumn
2020-10-12,97,Autumn
2020-10-13,102,Autumn
2020-10-14,84,Autumn
2020-10-15,110,Autumn
2020-10-16,47,Autumn
2020-10-17,73,Autumn
2020-10-18,91,Autumn
2020-10-19,76,Autumn
2020-10-20,58,Autumn
2020-10-21,91,Autumn
2020-10-22,121,Autumn
2020-10-23,155,Autumn
2020-10-24,77,Autumn
2020-10-25,61,Autumn
2020-10-26,119,Autumn
2020-10-27,88,Autumn
2020-10-28,103,Autumn
2020-10-29,125,Autumn
2020-10-30,114,Autumn
2020-10-31,127,Autumn
2020-11-01,124,Autumn
2020-11-02,97,Autumn
2020-11-03,75,Autumn
2020-11-04,118,Autumn
2020-11-05,125,Autumn
2020-11-06,145,Autumn
2020-11-07,89,Autumn
2020-11-08,143,Autumn
2020-11-09,126,Autumn
2020-11-10,100,Autumn
2020-11-11,146,Autumn
2020-11-12,143,Autumn
2020-11-13,191,Autumn
2020-11-14,205,Autumn
2020-11-15,208,Autumn
2020-11-16,223,Autumn
2020-11-17,230,Autumn
2020-11-18,313,Autumn
2020-11-19,343,Autumn
2020-11-20,363,Autumn
2020-11-21,386,Autumn
2020-11-22,330,Autumn
2020-11-23,271,Autumn
2020-11-24,349,Autumn
2020-11-25,382,Autumn
2020-11-26,583,Autumn
2020-11-27,569,Autumn
2020-11-28,504,Autumn
2020-11-29,450,Autumn
2020-11-30,438,Autumn
2020-12-01,451,Winter
2020-12-02,511,Winter
2020-12-03,540,Winter
2020-12-04,629,Winter
2020-12-05,583,Winter
2020-12-06,631,Winter
2020-12-07,615,Winter
2020-12-08,594,Winter
